,id,title,categories,date,closed,date_closed,geometries,year
1931,EONET_448,"Evrychou, Cyprus Wildfire",Wildfires,2016-06-19,True,2016-06-23,"{'type': 'Polygon', 'coordinates': [[[32.80426025390625, 34.83336227887422], [32.80426025390625, 35.08591685652135], [33.1085205078125, 35.08591685652135], [33.1085205078125, 34.83336227887422], [32.80426025390625, 34.83336227887422]]]}",2016
1932,EONET_443,"Wall Fire, Montana",Wildfires,2016-06-18,True,2016-06-29,"{'type': 'Point', 'coordinates': [-106.62388888889, 45.248055555556]}",2016
1933,EONET_441,"Brown Fire, Arizona",Wildfires,2016-06-17,True,2016-07-07,"{'type': 'Point', 'coordinates': [-111.56361111111, 31.777777777778]}",2016
1934,EONET_440,"Quemado Fire, Arizona",Wildfires,2016-06-16,True,2016-06-21,"{'type': 'Point', 'coordinates': [-109.48555555556, 34.222222222222]}",2016
1935,EONET_438,"Cedar Fire, Arizona",Wildfires,2016-06-15,True,2016-07-08,"{'type': 'Point', 'coordinates': [-110.18388888889, 34.055277777778]}",2016
1936,EONET_436,"Sherpa Fire, California",Wildfires,2016-06-15,True,2016-07-08,"{'type': 'Point', 'coordinates': [-120.09388888889, 34.887777777778]}",2016
1937,EONET_464,"Kelso Fire, Colorado",Wildfires,2016-06-14,True,2016-07-08,"{'type': 'Point', 'coordinates': [-108.50638888889, 38.563055555556]}",2016
1938,EONET_439,"Dog Head Fire, New Mexico",Wildfires,2016-06-14,True,2016-07-08,"{'type': 'Point', 'coordinates': [-106.37472222222, 34.811111111111]}",2016
1939,EONET_452,"Saddle Fire, Utah",Wildfires,2016-06-13,True,2016-07-25,"{'type': 'Point', 'coordinates': [-113.55277777778, 37.361944444444]}",2016
1940,EONET_442,"Wildcat Fire, Arizona",Wildfires,2016-06-13,True,2016-07-12,"{'type': 'Point', 'coordinates': [-111.98666666667, 36.366388888889]}",2016
1941,EONET_2569,"Oil Fires, Iraq",Manmade,2016-06-13,True,2017-03-30,"{'type': 'Polygon', 'coordinates': [[[43.0902099609375, 35.64764316137077], [43.0902099609375, 35.93548127742754], [43.4796142578125, 35.93548127742754], [43.4796142578125, 35.64764316137077], [43.0902099609375, 35.64764316137077]]]}",2016
1942,EONET_435,"Myanmar (Burma) Floods, June 2016",Floods,2016-06-10,True,2016-06-20,"{'type': 'Polygon', 'coordinates': [[[93.017578125, 19.49164371994793], [93.017578125, 27.085716387402858], [97.109375, 27.085716387402858], [97.109375, 19.49164371994793], [93.017578125, 19.49164371994793]]]}",2016
1943,EONET_433,"North Moore Fire, Utah",Wildfires,2016-06-09,True,2016-06-14,"{'type': 'Point', 'coordinates': [-112.35805555556, 39.785833333333]}",2016
1944,EONET_431,"Tenderfoot Fire, Arizona",Wildfires,2016-06-08,True,2016-06-19,"{'type': 'Point', 'coordinates': [-112.74527777778, 34.211111111111]}",2016
1945,EONET_432,"Akawana Fire, Oregon",Wildfires,2016-06-07,True,2016-06-20,"{'type': 'Point', 'coordinates': [-121.48111111111, 44.488333333333]}",2016
1946,EONET_430,"Pony Fire, California",Wildfires,2016-06-07,True,2016-07-08,"{'type': 'Point', 'coordinates': [-123.55666666667, 41.623333333333]}",2016
1947,EONET_427,Tropical Storm Colin,Severe Storms,2016-06-06,True,2016-06-12,"{'type': 'Point', 'coordinates': [-87.8, 23.6]}",2016
1948,EONET_429,"Longview Fire, Arizona",Wildfires,2016-06-06,True,2016-06-10,"{'type': 'Point', 'coordinates': [-110.56444444444, 31.615277777778]}",2016
1949,EONET_428,"Owyhee Canyon Fire, Oregon",Wildfires,2016-06-05,True,2016-06-10,"{'type': 'Point', 'coordinates': [-117.36361111111, 42.468611111111]}",2016
1950,EONET_437,"Turkey Fire, New Mexico",Wildfires,2016-06-05,True,2016-06-30,"{'type': 'Point', 'coordinates': [-108.32583333333, 33.149166666667]}",2016
1951,EONET_425,"Coleman Fire, California",Wildfires,2016-06-04,True,2016-06-13,"{'type': 'Point', 'coordinates': [-121.28944444444, 36.1125]}",2016
